Company ID (Partner),Company ID (Vendor)
13042545,12435203
12545161,12435203
13365871,12435203
13096374,12435203
12832116,12435203
18462624,12435203
12526658,12435203
12612629,12435203
12493591,12435203
13524490,12848144
13056187,12848144
15199100,12833786
13462567,12833786
12664163,12833786
12645046,12833786
12533245,12833786
12694193,12833786
12844862,12833786
111768946,12833786
26104035,12833786
26040923,12833786
111816242,12833786
12491426,12833786
12535116,12833786
106578888,12833786
12663640,12833786
12463158,12833786
12625352,12833786
12536238,12833786
12528191,12833786
12412868,12833786
112165429,12833786
12844704,12833786
118641112,12833786
26052638,12833786
12555900,12833786
13582665,12833786
12595754,12833786
13633071,12833786
26044104,12833786
111629936,12833786
12508354,12833786
12473225,12833786
106884596,12833786
12801288,12833786
106967243,12833786
12439458,12833786
13084543,12833786
12814169,12833786
12523232,12833786
111510613,12833786
12612995,12833786
12468348,12833786
26056619,12833786
13099456,12833786
12707876,12833786
12667528,12833786
13372682,12833786
13092562,12833786
12526379,12833786
12796690,12833786
18456467,12833786
12804918,12833786
12625269,12833786
12448144,12833786
12489667,12833786
12478888,12833786
13475227,12833786
12702172,12833786
111908072,12833786
12436791,12833786
118075534,12833786
12498435,12833786
26002387,12833786
37191021,12833786
12430766,12833786
12585012,12833786
108756826,12833786
12603414,12833786
12549149,12833786
118050237,12833786
12511233,12833786
12709057,12833786
12821526,12833786
12628799,12833786
12664482,12833786
13573090,12833786
12548279,12833786
12431762,12833786
108765791,12833786
12655130,12833786
12604585,12833786
12517943,12833786
12700078,12833786
12507454,12833786
12517542,12833786
111630988,12833786
118329128,12833786
13593255,12833786
12567368,12833786
12414233,12833786
12426871,12833786
12470393,12833786
118344126,12833786
12414074,12833786
26103205,12833786
12472600,12833786
12555535,12833786
112171479,12833786
13077235,12833786
118076194,12833786
12446982,12833786
13389981,12833786
12561558,12833786
12700090,12833786
12627225,12833786
12513182,12833786
12522666,12833786
12615045,12833786
13581020,12833786
37125622,12833786
12514820,12833786
13038685,12833786
12588669,12833786
26031376,12833786
13646633,12833786
12516546,12833786
12828003,12833786
12672941,12833786
12421274,12833786
12398842,12833786
37127080,12833786
13042937,12833786
12520059,12833786
12669982,12833786
12611945,12833786
12597646,12833786
12625269,12704564
13105780,12704564
15195752,12704564
13043316,12704564
118316923,12704564
12511233,12704564
111833320,12704564
12709057,12704564
12476976,12704564
12820924,12548279
92219896,12548279
12401270,12548279
12819673,12548279
12686255,12548279
12697507,12548279
12648935,12548279
12808087,12548279
13586307,12548279
12696936,12548279
12826713,12548279
13573090,12548279
13594377,12548279
12499412,12548279
13597043,12548279
37198056,12548279
12500683,12548279
12607489,12548279
112387609,12548279
12529868,12548279
12459838,12548279
12525471,12548279
12400467,12548279
12561558,12548279
12638141,12548279
12459382,12548279
12605779,12548279
37136255,12548279
12542230,12548279
12466713,12548279
12631703,12548279
12475397,12548279
13985619,12548279
12508218,12548279
12428223,12548279
12625352,12548279
13088245,12548279
13640885,12548279
12688931,12548279
12686106,12548279
118345899,12548279
12463359,12548279
26073101,12548279
12601119,12548279
12551077,12548279
12703797,12548279
12710262,12548279
12606956,12548279
112762730,12548279
