tech_group,technology,detail,category,company_id
IT Services,Systems and Network Implementations,Systems Integration,Project Oriented,2d573570-d7c3-4608-9859-eeaa1cd9f003
Software,Integration and Orchestration Middleware,Integration and Orchestration Middleware,Application Development & Deployment,2d573570-d7c3-4608-9859-eeaa1cd9f003
Hardware,Network Equipment,Network Equipment,Infrastructure,2d573570-d7c3-4608-9859-eeaa1cd9f003
Software,Collaborative Applications,Collaborative Applications,Applications,2d573570-d7c3-4608-9859-eeaa1cd9f003
Software,Enterprise Resource Management (ERM) Applications,Enterprise Resource Management (ERM) Applications,Applications,2d573570-d7c3-4608-9859-eeaa1cd9f003
Software,Physical and Virtual Computing Software,Physical and Virtual Computing Software,System Infrastructure Software,2d573570-d7c3-4608-9859-eeaa1cd9f003
Software,Network Software,Network Software,System Infrastructure Software,2d573570-d7c3-4608-9859-eeaa1cd9f003
Software,Analytics and Business Intelligence Software,Analytics and Business Intelligence Software,Application Development & Deployment,2d573570-d7c3-4608-9859-eeaa1cd9f003
IT Services,IT Consulting,IT Consulting,Project Oriented,2d573570-d7c3-4608-9859-eeaa1cd9f003
IT Services,IT Deploy and Support,Hardware Deploy and Support,Support Services,7f7376e1-5c7f-4405-8f20-3047dacdb704
IT Services,IT Consulting,IT Consulting,Project Oriented,7f7376e1-5c7f-4405-8f20-3047dacdb704
IT Services,Technology Outsourcing,IT Outsourcing,Managed Services,7f7376e1-5c7f-4405-8f20-3047dacdb704
Hardware,Server/Storage,Server/Storage,Infrastructure,7f7376e1-5c7f-4405-8f20-3047dacdb704
IT Services,Application Development,Custom Application Development,Project Oriented,7f7376e1-5c7f-4405-8f20-3047dacdb704
IT Services,Technology Outsourcing,Application Management,Managed Services,7f7376e1-5c7f-4405-8f20-3047dacdb704
Software,Security Software,Security Software,System Infrastructure Software,7f7376e1-5c7f-4405-8f20-3047dacdb704
Hardware,Server/Storage,Server/Storage,Infrastructure,b7a6123f-c34e-4c60-9b46-0be718bfddbb
Software,Customer Relationship Management (CRM) Applications,Customer Relationship Management (CRM) Applications,Applications,b7a6123f-c34e-4c60-9b46-0be718bfddbb
IT Services,Technology Outsourcing,IT Outsourcing,Managed Services,b7a6123f-c34e-4c60-9b46-0be718bfddbb
Software,Content Workflow and Management Applications,Content Workflow and Management Applications,Applications,b7a6123f-c34e-4c60-9b46-0be718bfddbb
Software,Data Management Software,Data Management Software,Application Development & Deployment,b7a6123f-c34e-4c60-9b46-0be718bfddbb
Hardware,Personal Computing Device,Notebook,Devices,b7a6123f-c34e-4c60-9b46-0be718bfddbb
IT Services,Systems and Network Implementations,Network Consulting and Integration,Project Oriented,b7a6123f-c34e-4c60-9b46-0be718bfddbb
Software,Supply Chain Management (SCM) Applications,Supply Chain Management (SCM) Applications,Applications,b7a6123f-c34e-4c60-9b46-0be718bfddbb
Software,Artificial Intelligence Platforms,Artificial Intelligence Platforms,Application Development & Deployment,b7a6123f-c34e-4c60-9b46-0be718bfddbb
IT Services,IT Consulting,IT Consulting,Project Oriented,b7a6123f-c34e-4c60-9b46-0be718bfddbb
IT Services,Application Development,Custom Application Development,Project Oriented,b7a6123f-c34e-4c60-9b46-0be718bfddbb
Software,Analytics and Business Intelligence Software,Analytics and Business Intelligence Software,Application Development & Deployment,b7a6123f-c34e-4c60-9b46-0be718bfddbb
IT Services,Systems and Network Implementations,Systems Integration,Project Oriented,b7a6123f-c34e-4c60-9b46-0be718bfddbb
Business Services,Business Consulting,Business Consulting,Project Oriented,b7a6123f-c34e-4c60-9b46-0be718bfddbb
Software,Engineering Applications,Engineering Applications,Applications,b7a6123f-c34e-4c60-9b46-0be718bfddbb
IT Services,IT Education and Training,IT Education and Training,Support Services,b7a6123f-c34e-4c60-9b46-0be718bfddbb
Software,Data Management Software,Data Management Software,Application Development & Deployment,afc02a55-b636-44cc-a123-d6f327ebcc51
Business Services,Business Consulting,Business Consulting,Project Oriented,afc02a55-b636-44cc-a123-d6f327ebcc51
Software,Application Development Software,Application Development Software,Application Development & Deployment,afc02a55-b636-44cc-a123-d6f327ebcc51
IT Services,Application Development,Custom Application Development,Project Oriented,afc02a55-b636-44cc-a123-d6f327ebcc51
Software,Analytics and Business Intelligence Software,Analytics and Business Intelligence Software,Application Development & Deployment,afc02a55-b636-44cc-a123-d6f327ebcc51
Software,Collaborative Applications,Collaborative Applications,Applications,afc02a55-b636-44cc-a123-d6f327ebcc51
Software,System and Service Management Software,System and Service Management Software,System Infrastructure Software,c562cf6b-7d18-482e-9a3c-11d46c11190c
IT Services,Technology Outsourcing,Application Management,Managed Services,c562cf6b-7d18-482e-9a3c-11d46c11190c
Software,Security Software,Security Software,System Infrastructure Software,c562cf6b-7d18-482e-9a3c-11d46c11190c
Software,Storage Software,Storage Software,System Infrastructure Software,c562cf6b-7d18-482e-9a3c-11d46c11190c
Software,Enterprise Resource Management (ERM) Applications,Enterprise Resource Management (ERM) Applications,Applications,0f1693e2-6bf4-484f-8862-f0766686e610
Software,Production Applications,Production Applications,Applications,0f1693e2-6bf4-484f-8862-f0766686e610
Software,Physical and Virtual Computing Software,Physical and Virtual Computing Software,System Infrastructure Software,0f1693e2-6bf4-484f-8862-f0766686e610
Software,Collaborative Applications,Collaborative Applications,Applications,0f1693e2-6bf4-484f-8862-f0766686e610
Hardware,Peripheral,Hardcopy Peripheral,Devices,0f1693e2-6bf4-484f-8862-f0766686e610
Software,Supply Chain Management (SCM) Applications,Supply Chain Management (SCM) Applications,Applications,0f1693e2-6bf4-484f-8862-f0766686e610
Software,Customer Relationship Management (CRM) Applications,Customer Relationship Management (CRM) Applications,Applications,0f1693e2-6bf4-484f-8862-f0766686e610
Software,Analytics and Business Intelligence Software,Analytics and Business Intelligence Software,Application Development & Deployment,0f1693e2-6bf4-484f-8862-f0766686e610
Software,Network Software,Network Software,System Infrastructure Software,5b84f55e-bd8b-4e31-b18d-96b4d05d984c
IT Services,IT Education and Training,IT Education and Training,Support Services,5b84f55e-bd8b-4e31-b18d-96b4d05d984c
IT Services,Systems and Network Implementations,Network Consulting and Integration,Project Oriented,5b84f55e-bd8b-4e31-b18d-96b4d05d984c
Hardware,Personal Computing Device,Desktop,Devices,5b84f55e-bd8b-4e31-b18d-96b4d05d984c
Hardware,Server/Storage,Server/Storage,Infrastructure,5b84f55e-bd8b-4e31-b18d-96b4d05d984c
IT Services,Systems and Network Implementations,Systems Integration,Project Oriented,5b84f55e-bd8b-4e31-b18d-96b4d05d984c
Software,Customer Relationship Management (CRM) Applications,Customer Relationship Management (CRM) Applications,Applications,5b84f55e-bd8b-4e31-b18d-96b4d05d984c
Software,Security Software,Security Software,System Infrastructure Software,5b84f55e-bd8b-4e31-b18d-96b4d05d984c
Software,Supply Chain Management (SCM) Applications,Supply Chain Management (SCM) Applications,Applications,5b84f55e-bd8b-4e31-b18d-96b4d05d984c
Hardware,Network Equipment,Network Equipment,Infrastructure,5b84f55e-bd8b-4e31-b18d-96b4d05d984c
IT Services,IT Consulting,IT Consulting,Project Oriented,5b84f55e-bd8b-4e31-b18d-96b4d05d984c
Software,Endpoint Management Software,Endpoint Management Software,System Infrastructure Software,5b84f55e-bd8b-4e31-b18d-96b4d05d984c
Software,Physical and Virtual Computing Software,Physical and Virtual Computing Software,System Infrastructure Software,5b84f55e-bd8b-4e31-b18d-96b4d05d984c
Software,Enterprise Resource Management (ERM) Applications,Enterprise Resource Management (ERM) Applications,Applications,5b84f55e-bd8b-4e31-b18d-96b4d05d984c
IT Services,Technology Outsourcing,Hosting Infrastructure Services,Managed Services,5b84f55e-bd8b-4e31-b18d-96b4d05d984c
IT Services,Application Development,Custom Application Development,Project Oriented,5b84f55e-bd8b-4e31-b18d-96b4d05d984c
Software,Content Workflow and Management Applications,Content Workflow and Management Applications,Applications,5b84f55e-bd8b-4e31-b18d-96b4d05d984c
Software,Collaborative Applications,Collaborative Applications,Applications,5b84f55e-bd8b-4e31-b18d-96b4d05d984c
Software,Integration and Orchestration Middleware,Integration and Orchestration Middleware,Application Development & Deployment,5b84f55e-bd8b-4e31-b18d-96b4d05d984c
Software,Application Platforms,Application Platforms,Application Development & Deployment,5b84f55e-bd8b-4e31-b18d-96b4d05d984c
Software,Storage Software,Storage Software,System Infrastructure Software,df8df8a1-12f3-4149-8652-fd23deab11da
IT Services,Technology Outsourcing,Hosting Infrastructure Services,Managed Services,df8df8a1-12f3-4149-8652-fd23deab11da
Hardware,Server/Storage,Server/Storage,Infrastructure,df8df8a1-12f3-4149-8652-fd23deab11da
Software,Physical and Virtual Computing Software,Physical and Virtual Computing Software,System Infrastructure Software,df8df8a1-12f3-4149-8652-fd23deab11da
Software,Endpoint Management Software,Endpoint Management Software,System Infrastructure Software,df8df8a1-12f3-4149-8652-fd23deab11da
Software,Data Management Software,Data Management Software,Application Development & Deployment,df8df8a1-12f3-4149-8652-fd23deab11da
Software,Network Software,Network Software,System Infrastructure Software,df8df8a1-12f3-4149-8652-fd23deab11da
Software,Collaborative Applications,Collaborative Applications,Applications,df8df8a1-12f3-4149-8652-fd23deab11da
Software,Integration and Orchestration Middleware,Integration and Orchestration Middleware,Application Development & Deployment,df8df8a1-12f3-4149-8652-fd23deab11da
IT Services,Technology Outsourcing,Application Management,Managed Services,df8df8a1-12f3-4149-8652-fd23deab11da
Software,Security Software,Security Software,System Infrastructure Software,df8df8a1-12f3-4149-8652-fd23deab11da
Software,Software Quality and Life Cycle Tools,Software Quality and Life Cycle Tools,Application Development & Deployment,df8df8a1-12f3-4149-8652-fd23deab11da
Software,System and Service Management Software,System and Service Management Software,System Infrastructure Software,df8df8a1-12f3-4149-8652-fd23deab11da
Software,Application Platforms,Application Platforms,Application Development & Deployment,df8df8a1-12f3-4149-8652-fd23deab11da
Software,Data Management Software,Data Management Software,Application Development & Deployment,b6358544-2d76-40e6-a9bc-b698083957e7
Hardware,Peripheral,Hardcopy Peripheral,Devices,b6358544-2d76-40e6-a9bc-b698083957e7
Software,System and Service Management Software,System and Service Management Software,System Infrastructure Software,b6358544-2d76-40e6-a9bc-b698083957e7
Software,Storage Software,Storage Software,System Infrastructure Software,b6358544-2d76-40e6-a9bc-b698083957e7
Hardware,Server/Storage,Server/Storage,Infrastructure,b6358544-2d76-40e6-a9bc-b698083957e7
Software,Physical and Virtual Computing Software,Physical and Virtual Computing Software,System Infrastructure Software,b6358544-2d76-40e6-a9bc-b698083957e7
Hardware,Peripheral,PC Monitor,Devices,b6358544-2d76-40e6-a9bc-b698083957e7
Hardware,Personal Computing Device,Desktop,Devices,b6358544-2d76-40e6-a9bc-b698083957e7
Software,Content Workflow and Management Applications,Content Workflow and Management Applications,Applications,b6358544-2d76-40e6-a9bc-b698083957e7
Software,Customer Relationship Management (CRM) Applications,Customer Relationship Management (CRM) Applications,Applications,b6358544-2d76-40e6-a9bc-b698083957e7
Software,Analytics and Business Intelligence Software,Analytics and Business Intelligence Software,Application Development & Deployment,b6358544-2d76-40e6-a9bc-b698083957e7
Software,Network Software,Network Software,System Infrastructure Software,b6358544-2d76-40e6-a9bc-b698083957e7
Software,Enterprise Resource Management (ERM) Applications,Enterprise Resource Management (ERM) Applications,Applications,b6358544-2d76-40e6-a9bc-b698083957e7
IT Services,Systems and Network Implementations,Network Consulting and Integration,Project Oriented,b6358544-2d76-40e6-a9bc-b698083957e7
Software,Security Software,Security Software,System Infrastructure Software,b6358544-2d76-40e6-a9bc-b698083957e7
Software,Supply Chain Management (SCM) Applications,Supply Chain Management (SCM) Applications,Applications,b6358544-2d76-40e6-a9bc-b698083957e7
Software,Enterprise Resource Management (ERM) Applications,Enterprise Resource Management (ERM) Applications,Applications,cb06d24e-605f-4ef6-b36b-fbdb4f477605
Hardware,Network Equipment,Network Equipment,Infrastructure,cb06d24e-605f-4ef6-b36b-fbdb4f477605
IT Services,Technology Outsourcing,Application Management,Managed Services,cb06d24e-605f-4ef6-b36b-fbdb4f477605
Hardware,Server/Storage,Server/Storage,Infrastructure,cb06d24e-605f-4ef6-b36b-fbdb4f477605
IT Services,Systems and Network Implementations,Network Consulting and Integration,Project Oriented,cb06d24e-605f-4ef6-b36b-fbdb4f477605
Hardware,Peripheral,Hardcopy Peripheral,Devices,cb06d24e-605f-4ef6-b36b-fbdb4f477605
Hardware,Personal Computing Device,Desktop,Devices,cb06d24e-605f-4ef6-b36b-fbdb4f477605
Software,Production Applications,Production Applications,Applications,cb06d24e-605f-4ef6-b36b-fbdb4f477605
Software,Content Workflow and Management Applications,Content Workflow and Management Applications,Applications,0afbdc34-1dbf-4ca1-9ef7-048b032eb7af
Software,Collaborative Applications,Collaborative Applications,Applications,0afbdc34-1dbf-4ca1-9ef7-048b032eb7af
IT Services,IT Consulting,IT Consulting,Project Oriented,e6dc6a74-bf0c-4b16-82b6-e6c7c6e6e8d7
IT Services,IT Education and Training,IT Education and Training,Support Services,e6dc6a74-bf0c-4b16-82b6-e6c7c6e6e8d7
IT Services,IT Deploy and Support,Hardware Deploy and Support,Support Services,e6dc6a74-bf0c-4b16-82b6-e6c7c6e6e8d7
Business Services,Business Consulting,Business Consulting,Project Oriented,e6dc6a74-bf0c-4b16-82b6-e6c7c6e6e8d7
Business Services,Key Horizontal BPO,Key Horizontal BPO,Managed Services,e6dc6a74-bf0c-4b16-82b6-e6c7c6e6e8d7
Software,Integration and Orchestration Middleware,Integration and Orchestration Middleware,Application Development & Deployment,e6dc6a74-bf0c-4b16-82b6-e6c7c6e6e8d7
Software,Customer Relationship Management (CRM) Applications,Customer Relationship Management (CRM) Applications,Applications,e6dc6a74-bf0c-4b16-82b6-e6c7c6e6e8d7
Software,Analytics and Business Intelligence Software,Analytics and Business Intelligence Software,Application Development & Deployment,e6dc6a74-bf0c-4b16-82b6-e6c7c6e6e8d7
Software,Security Software,Security Software,System Infrastructure Software,e6dc6a74-bf0c-4b16-82b6-e6c7c6e6e8d7
IT Services,Systems and Network Implementations,Network Consulting and Integration,Project Oriented,e6dc6a74-bf0c-4b16-82b6-e6c7c6e6e8d7
Software,Artificial Intelligence Platforms,Artificial Intelligence Platforms,Application Development & Deployment,e6dc6a74-bf0c-4b16-82b6-e6c7c6e6e8d7
Software,Data Management Software,Data Management Software,Application Development & Deployment,060537b0-0f78-4a62-916f-120e238eb2e8
Hardware,Server/Storage,Server/Storage,Infrastructure,060537b0-0f78-4a62-916f-120e238eb2e8
Hardware,Personal Computing Device,Desktop,Devices,060537b0-0f78-4a62-916f-120e238eb2e8
Software,Physical and Virtual Computing Software,Physical and Virtual Computing Software,System Infrastructure Software,060537b0-0f78-4a62-916f-120e238eb2e8
Software,Application Development Software,Application Development Software,Application Development & Deployment,060537b0-0f78-4a62-916f-120e238eb2e8
IT Services,Technology Outsourcing,IT Outsourcing,Managed Services,060537b0-0f78-4a62-916f-120e238eb2e8
Software,Endpoint Management Software,Endpoint Management Software,System Infrastructure Software,060537b0-0f78-4a62-916f-120e238eb2e8
IT Services,Technology Outsourcing,Hosting Infrastructure Services,Managed Services,060537b0-0f78-4a62-916f-120e238eb2e8
Software,Network Software,Network Software,System Infrastructure Software,060537b0-0f78-4a62-916f-120e238eb2e8
Software,Storage Software,Storage Software,System Infrastructure Software,060537b0-0f78-4a62-916f-120e238eb2e8
IT Services,Systems and Network Implementations,Network Consulting and Integration,Project Oriented,060537b0-0f78-4a62-916f-120e238eb2e8
Software,Security Software,Security Software,System Infrastructure Software,060537b0-0f78-4a62-916f-120e238eb2e8
Software,Analytics and Business Intelligence Software,Analytics and Business Intelligence Software,Application Development & Deployment,060537b0-0f78-4a62-916f-120e238eb2e8
IT Services,IT Deploy and Support,Hardware Deploy and Support,Support Services,060537b0-0f78-4a62-916f-120e238eb2e8
Hardware,Network Equipment,Network Equipment,Infrastructure,2abbf53f-395d-4daf-a685-4ae3b6ea445e
Software,Integration and Orchestration Middleware,Integration and Orchestration Middleware,Application Development & Deployment,2abbf53f-395d-4daf-a685-4ae3b6ea445e
Software,Security Software,Security Software,System Infrastructure Software,f09d5071-f364-47c1-b88c-74d63dfc7c05
IT Services,Application Development,Custom Application Development,Project Oriented,f09d5071-f364-47c1-b88c-74d63dfc7c05
Software,Analytics and Business Intelligence Software,Analytics and Business Intelligence Software,Application Development & Deployment,f09d5071-f364-47c1-b88c-74d63dfc7c05
IT Services,IT Consulting,IT Consulting,Project Oriented,f09d5071-f364-47c1-b88c-74d63dfc7c05
Software,Enterprise Resource Management (ERM) Applications,Enterprise Resource Management (ERM) Applications,Applications,f09d5071-f364-47c1-b88c-74d63dfc7c05
IT Services,IT Deploy and Support,Hardware Deploy and Support,Support Services,f09d5071-f364-47c1-b88c-74d63dfc7c05
Software,Security Software,Security Software,System Infrastructure Software,3aed5f47-b397-410e-8376-d6ddd9cdf093
Hardware,Network Equipment,Network Equipment,Infrastructure,3aed5f47-b397-410e-8376-d6ddd9cdf093
Software,Collaborative Applications,Collaborative Applications,Applications,3aed5f47-b397-410e-8376-d6ddd9cdf093
IT Services,IT Deploy and Support,Hardware Deploy and Support,Support Services,1f180ce3-5d41-4744-a36f-8c305e114012
Software,Storage Software,Storage Software,System Infrastructure Software,1f180ce3-5d41-4744-a36f-8c305e114012
Hardware,Server/Storage,Server/Storage,Infrastructure,1f180ce3-5d41-4744-a36f-8c305e114012
Software,Analytics and Business Intelligence Software,Analytics and Business Intelligence Software,Application Development & Deployment,1f180ce3-5d41-4744-a36f-8c305e114012
IT Services,Systems and Network Implementations,Network Consulting and Integration,Project Oriented,1f180ce3-5d41-4744-a36f-8c305e114012
Hardware,Peripheral,Hardcopy Peripheral,Devices,1f180ce3-5d41-4744-a36f-8c305e114012
Software,Artificial Intelligence Platforms,Artificial Intelligence Platforms,Application Development & Deployment,8dfeb892-961c-465e-b0b0-8199201db915
IT Services,Technology Outsourcing,Hosted Application Management,Managed Services,8dfeb892-961c-465e-b0b0-8199201db915
Hardware,Personal Computing Device,Desktop,Devices,8dfeb892-961c-465e-b0b0-8199201db915
IT Services,Technology Outsourcing,Hosting Infrastructure Services,Managed Services,8dfeb892-961c-465e-b0b0-8199201db915
IT Services,Application Development,Custom Application Development,Project Oriented,8dfeb892-961c-465e-b0b0-8199201db915
Business Services,Business Consulting,Business Consulting,Project Oriented,8dfeb892-961c-465e-b0b0-8199201db915
Software,Collaborative Applications,Collaborative Applications,Applications,921ef7fa-ebb2-434c-a1e4-1572a98a8124
Software,Enterprise Resource Management (ERM) Applications,Enterprise Resource Management (ERM) Applications,Applications,921ef7fa-ebb2-434c-a1e4-1572a98a8124
Software,Content Workflow and Management Applications,Content Workflow and Management Applications,Applications,921ef7fa-ebb2-434c-a1e4-1572a98a8124
Software,Security Software,Security Software,System Infrastructure Software,921ef7fa-ebb2-434c-a1e4-1572a98a8124
Software,Production Applications,Production Applications,Applications,921ef7fa-ebb2-434c-a1e4-1572a98a8124
Software,Application Platforms,Application Platforms,Application Development & Deployment,921ef7fa-ebb2-434c-a1e4-1572a98a8124
Software,Customer Relationship Management (CRM) Applications,Customer Relationship Management (CRM) Applications,Applications,921ef7fa-ebb2-434c-a1e4-1572a98a8124
Software,Integration and Orchestration Middleware,Integration and Orchestration Middleware,Application Development & Deployment,921ef7fa-ebb2-434c-a1e4-1572a98a8124
IT Services,Technology Outsourcing,Hosted Application Management,Managed Services,4c2adaff-17d8-4a50-b444-e724f604b8be
Software,Customer Relationship Management (CRM) Applications,Customer Relationship Management (CRM) Applications,Applications,4c2adaff-17d8-4a50-b444-e724f604b8be
IT Services,IT Deploy and Support,Software Deploy and Support,Support Services,4c2adaff-17d8-4a50-b444-e724f604b8be
Hardware,Personal Computing Device,Desktop,Devices,4c2adaff-17d8-4a50-b444-e724f604b8be
Business Services,Business Consulting,Business Consulting,Project Oriented,4c2adaff-17d8-4a50-b444-e724f604b8be
Software,Storage Software,Storage Software,System Infrastructure Software,4c2adaff-17d8-4a50-b444-e724f604b8be
Software,Production Applications,Production Applications,Applications,5d84110c-78ff-4572-9974-dcef9155f82a
IT Services,IT Education and Training,IT Education and Training,Support Services,5d84110c-78ff-4572-9974-dcef9155f82a
Hardware,Server/Storage,Server/Storage,Infrastructure,5d84110c-78ff-4572-9974-dcef9155f82a
IT Services,Application Development,Custom Application Development,Project Oriented,5d84110c-78ff-4572-9974-dcef9155f82a
IT Services,IT Consulting,IT Consulting,Project Oriented,5d84110c-78ff-4572-9974-dcef9155f82a
Software,Application Development Software,Application Development Software,Application Development & Deployment,5d84110c-78ff-4572-9974-dcef9155f82a
Hardware,Server/Storage,Server/Storage,Infrastructure,dc3c0e63-d575-443f-bc51-829c9b946068
IT Services,Application Development,Custom Application Development,Project Oriented,dc3c0e63-d575-443f-bc51-829c9b946068
IT Services,Systems and Network Implementations,Network Consulting and Integration,Project Oriented,dc3c0e63-d575-443f-bc51-829c9b946068
Software,Artificial Intelligence Platforms,Artificial Intelligence Platforms,Application Development & Deployment,dc3c0e63-d575-443f-bc51-829c9b946068
Business Services,Business Consulting,Business Consulting,Project Oriented,dc3c0e63-d575-443f-bc51-829c9b946068
Software,Analytics and Business Intelligence Software,Analytics and Business Intelligence Software,Application Development & Deployment,dc3c0e63-d575-443f-bc51-829c9b946068
Software,Data Management Software,Data Management Software,Application Development & Deployment,dc3c0e63-d575-443f-bc51-829c9b946068
Software,Network Software,Network Software,System Infrastructure Software,dc3c0e63-d575-443f-bc51-829c9b946068
IT Services,IT Consulting,IT Consulting,Project Oriented,dc3c0e63-d575-443f-bc51-829c9b946068
Software,Security Software,Security Software,System Infrastructure Software,83be68ae-1142-4016-9453-e5e0a5754a0d
Software,Analytics and Business Intelligence Software,Analytics and Business Intelligence Software,Application Development & Deployment,83be68ae-1142-4016-9453-e5e0a5754a0d
Hardware,Server/Storage,Server/Storage,Infrastructure,83be68ae-1142-4016-9453-e5e0a5754a0d
IT Services,IT Deploy and Support,Hardware Deploy and Support,Support Services,83be68ae-1142-4016-9453-e5e0a5754a0d
Software,Customer Relationship Management (CRM) Applications,Customer Relationship Management (CRM) Applications,Applications,83be68ae-1142-4016-9453-e5e0a5754a0d
