Company ID,Cloud Coverage
115344512,Other Cloud: Hybrid/Private/On-prem virtualization
115344512,SaaS
12845758,Other Cloud: Hybrid/Private/On-prem virtualization
12845758,SaaS
12845758,IaaS
26000299,-
12433565,-
12715135,Other Cloud: Hybrid/Private/On-prem virtualization
12715135,IaaS
12715135,SaaS
15205560,Other Cloud: Hybrid/Private/On-prem virtualization
15205560,SaaS
12452959,PaaS
12452959,SaaS
12452959,IaaS
12452959,Other Cloud: Hybrid/Private/On-prem virtualization
115344806,SaaS
111805680,IaaS
118619992,-
118621463,SaaS
118621463,Other Cloud: Hybrid/Private/On-prem virtualization
118620076,SaaS
13295534,Other Cloud: Hybrid/Private/On-prem virtualization
12583235,-
12452272,-
12452879,Other Cloud: Hybrid/Private/On-prem virtualization
12452879,SaaS
12583942,-
118621485,SaaS
115082001,-
12845579,-
118621427,SaaS
118620859,-
12844894,Other Cloud: Hybrid/Private/On-prem virtualization
12844894,SaaS
12844894,IaaS
118621595,-
12451761,Other Cloud: Hybrid/Private/On-prem virtualization
92157006,SaaS
115081507,SaaS
13369911,-
12452967,-
12452555,-
118621459,-
118621525,-
12715479,Other Cloud: Hybrid/Private/On-prem virtualization
12715479,SaaS
118620012,-
15205529,SaaS
15205529,Other Cloud: Hybrid/Private/On-prem virtualization
12715157,-
13370098,Other Cloud: Hybrid/Private/On-prem virtualization
13370098,SaaS
111935589,SaaS
12846025,SaaS
12846025,Other Cloud: Hybrid/Private/On-prem virtualization
118056721,-
15205605,-
15205610,Other Cloud: Hybrid/Private/On-prem virtualization
15205610,SaaS
15205631,-
15205515,SaaS
15205668,SaaS
12588900,PaaS
12588900,Other Cloud: Hybrid/Private/On-prem virtualization
12588900,IaaS
12588900,SaaS
13369995,SaaS
118620068,-
111674486,-
12715128,IaaS
12715128,SaaS
12715128,Other Cloud: Hybrid/Private/On-prem virtualization
92144495,-
111804587,-
111969258,-
12452269,SaaS
12452269,Other Cloud: Hybrid/Private/On-prem virtualization
118620007,PaaS
111805854,SaaS
118050468,-
12425801,IaaS
12425801,PaaS
12425801,Other Cloud: Hybrid/Private/On-prem virtualization
12425801,SaaS
12582801,SaaS
12582801,Other Cloud: Hybrid/Private/On-prem virtualization
118621520,SaaS
118621441,SaaS
107217603,SaaS
111614885,-
12583552,IaaS
12583552,PaaS
12583552,SaaS
12583552,Other Cloud: Hybrid/Private/On-prem virtualization
13108539,Other Cloud: Hybrid/Private/On-prem virtualization
13108539,SaaS
12582833,Other Cloud: Hybrid/Private/On-prem virtualization
114978129,SaaS
13107337,-
115081693,-
12584317,-
15205642,SaaS
12605502,SaaS
114950341,SaaS
93454231,-
118620059,-
118620723,-
92012931,-
12638270,Other Cloud: Hybrid/Private/On-prem virtualization
12638270,SaaS
12845846,-
12714808,-
15205644,PaaS
15205644,IaaS
15205644,Other Cloud: Hybrid/Private/On-prem virtualization
15205644,SaaS
15205657,IaaS
15205657,PaaS
15205657,SaaS
15205657,Other Cloud: Hybrid/Private/On-prem virtualization
111936892,-
118632475,SaaS
115081133,SaaS
12584419,-
92013899,-
12583922,SaaS
12583922,Other Cloud: Hybrid/Private/On-prem virtualization
111935593,-
118315302,-
12715453,SaaS
12584123,SaaS
114950323,-
13108393,IaaS
13108393,Other Cloud: Hybrid/Private/On-prem virtualization
13108393,SaaS
12845840,SaaS
12845238,SaaS
111936174,-
12451659,Other Cloud: Hybrid/Private/On-prem virtualization
12451659,IaaS
12451659,SaaS
115081056,SaaS
12714910,SaaS
12714910,Other Cloud: Hybrid/Private/On-prem virtualization
12583479,Other Cloud: Hybrid/Private/On-prem virtualization
111674164,SaaS
12452577,SaaS
12452577,IaaS
12452577,Other Cloud: Hybrid/Private/On-prem virtualization
13108011,-
92144009,-
114950482,SaaS
26061677,-
118620692,SaaS
12582839,SaaS
12582839,Other Cloud: Hybrid/Private/On-prem virtualization
12452797,IaaS
12452797,SaaS
107218349,SaaS
107218349,Other Cloud: Hybrid/Private/On-prem virtualization
111674170,-
111935495,SaaS
111935495,Other Cloud: Hybrid/Private/On-prem virtualization
13107417,SaaS
13107417,Other Cloud: Hybrid/Private/On-prem virtualization
13369940,SaaS
13369940,Other Cloud: Hybrid/Private/On-prem virtualization
12832616,Other Cloud: Hybrid/Private/On-prem virtualization
118621522,-
12714324,SaaS
12714324,Other Cloud: Hybrid/Private/On-prem virtualization
13108134,IaaS
12452916,-
118621670,SaaS
12453295,IaaS
12453295,SaaS
12453295,PaaS
118620949,-
115081110,-
115081208,SaaS
115212216,SaaS
12584161,SaaS
12584161,IaaS
12453009,SaaS
12453009,Other Cloud: Hybrid/Private/On-prem virtualization
111673997,SaaS
115212391,IaaS
115212391,PaaS
115212391,SaaS
111804352,Other Cloud: Hybrid/Private/On-prem virtualization
111804352,SaaS
115212404,-
12714121,PaaS
12714121,Other Cloud: Hybrid/Private/On-prem virtualization
12714121,SaaS
115212455,SaaS
115212731,-
115081331,SaaS
115081331,Other Cloud: Hybrid/Private/On-prem virtualization
13107017,Other Cloud: Hybrid/Private/On-prem virtualization
13107017,SaaS
13107017,IaaS
13107017,PaaS
12453038,-
12846397,Other Cloud: Hybrid/Private/On-prem virtualization
12846397,SaaS
12452727,Other Cloud: Hybrid/Private/On-prem virtualization
15204294,PaaS
15204294,Other Cloud: Hybrid/Private/On-prem virtualization
15204294,SaaS
15204294,IaaS
115081131,-
