company_id,scope
9af683ab-c344-4303-87eb-ecc1620db3b9,Mobility
9af683ab-c344-4303-87eb-ecc1620db3b9,Cloud
9af683ab-c344-4303-87eb-ecc1620db3b9,Social
9af683ab-c344-4303-87eb-ecc1620db3b9,Big Data and Analytics
9af683ab-c344-4303-87eb-ecc1620db3b9,Blockchain
9af683ab-c344-4303-87eb-ecc1620db3b9,AR/VR
9af683ab-c344-4303-87eb-ecc1620db3b9,Robotics
08189b09-fae6-4857-a2f6-b62ed91c82bf,Social
9cccde2a-3569-457b-8946-856289c1b1d1,AI
9cccde2a-3569-457b-8946-856289c1b1d1,Mobility
9cccde2a-3569-457b-8946-856289c1b1d1,Security
9cccde2a-3569-457b-8946-856289c1b1d1,Big Data and Analytics
9cccde2a-3569-457b-8946-856289c1b1d1,Social
9cccde2a-3569-457b-8946-856289c1b1d1,IoT
e39457a6-c21c-4b8c-98c2-a619bfee80ce,Robotics
e39457a6-c21c-4b8c-98c2-a619bfee80ce,AI
e39457a6-c21c-4b8c-98c2-a619bfee80ce,IoT
e39457a6-c21c-4b8c-98c2-a619bfee80ce,Security
e39457a6-c21c-4b8c-98c2-a619bfee80ce,Cloud
e39457a6-c21c-4b8c-98c2-a619bfee80ce,Mobility
e39457a6-c21c-4b8c-98c2-a619bfee80ce,Social
e39457a6-c21c-4b8c-98c2-a619bfee80ce,Big Data and Analytics
e39457a6-c21c-4b8c-98c2-a619bfee80ce,Blockchain
ed8bfde6-49b7-4d72-80e8-2d55078c4b5b,IoT
ed8bfde6-49b7-4d72-80e8-2d55078c4b5b,Security
ed8bfde6-49b7-4d72-80e8-2d55078c4b5b,AR/VR
ed8bfde6-49b7-4d72-80e8-2d55078c4b5b,Mobility
ed8bfde6-49b7-4d72-80e8-2d55078c4b5b,Cloud
ed8bfde6-49b7-4d72-80e8-2d55078c4b5b,Social
05037db5-a7b6-4ad3-91f1-1ebad80fc45c,Big Data and Analytics
05037db5-a7b6-4ad3-91f1-1ebad80fc45c,Security
05037db5-a7b6-4ad3-91f1-1ebad80fc45c,Cloud
05037db5-a7b6-4ad3-91f1-1ebad80fc45c,Mobility
05037db5-a7b6-4ad3-91f1-1ebad80fc45c,IoT
05037db5-a7b6-4ad3-91f1-1ebad80fc45c,Social
05037db5-a7b6-4ad3-91f1-1ebad80fc45c,AI
02082a6c-8771-4e39-b211-96c3e7f8e7aa,Security
02082a6c-8771-4e39-b211-96c3e7f8e7aa,Big Data and Analytics
02082a6c-8771-4e39-b211-96c3e7f8e7aa,Cloud
02082a6c-8771-4e39-b211-96c3e7f8e7aa,Mobility
d48939bc-947b-4461-b8fd-1b000ebf32c4,IoT
d48939bc-947b-4461-b8fd-1b000ebf32c4,Social
d48939bc-947b-4461-b8fd-1b000ebf32c4,Cloud
e3fb5c1b-995f-4a07-af88-6622510590e8,Security
e3fb5c1b-995f-4a07-af88-6622510590e8,Cloud
e3fb5c1b-995f-4a07-af88-6622510590e8,Social
e3fb5c1b-995f-4a07-af88-6622510590e8,AI
e3fb5c1b-995f-4a07-af88-6622510590e8,Big Data and Analytics
