company_id,coverage
dec002c7-311b-451c-ba12-048ef25b644d,PaaS
dec002c7-311b-451c-ba12-048ef25b644d,Other Cloud: Hybrid/Private/On-prem virtualization
13f319d5-9cc4-4d93-a27e-3973c3e18f59,SaaS
084133e2-7453-4e8c-a629-719adf916bc2,SaaS
b285ffa7-7be3-4834-ad25-1fc3f001cdb1,
264e77ba-1390-478d-b2a4-2cf4d12845fc,PaaS
264e77ba-1390-478d-b2a4-2cf4d12845fc,SaaS
264e77ba-1390-478d-b2a4-2cf4d12845fc,Other Cloud: Hybrid/Private/On-prem virtualization
264e77ba-1390-478d-b2a4-2cf4d12845fc,IaaS
d5abd2fe-b7ab-45f7-be8b-21ca27a1b90d,SaaS
4bbc5f04-9670-45e2-82c2-eeb3f06d2bc7,SaaS
4bbc5f04-9670-45e2-82c2-eeb3f06d2bc7,Other Cloud: Hybrid/Private/On-prem virtualization
c03f9542-6397-4f00-b205-4c799896d99e,SaaS
e9f0e7be-e7ca-4795-8196-112bda19205c,SaaS
ad5b8e48-820f-4043-b197-cb9ccda227e5,SaaS
ad5b8e48-820f-4043-b197-cb9ccda227e5,IaaS
ad5b8e48-820f-4043-b197-cb9ccda227e5,Other Cloud: Hybrid/Private/On-prem virtualization
01a40b69-4327-476f-acde-30c29e77731e,SaaS
01a40b69-4327-476f-acde-30c29e77731e,Other Cloud: Hybrid/Private/On-prem virtualization
9bbb0043-3f3d-4023-8be0-30ae5dfd44a1,Other Cloud: Hybrid/Private/On-prem virtualization
9bbb0043-3f3d-4023-8be0-30ae5dfd44a1,SaaS
ff093900-fa5e-47e8-9b72-36e495585eab,SaaS
c59f65b9-7a7e-43f7-9436-09cbaf4fc296,SaaS
7bb35b1b-c659-4682-a339-108bbc0948a7,
a71388dd-6c72-48f0-bd85-d3fb5daf18db,Other Cloud: Hybrid/Private/On-prem virtualization
a71388dd-6c72-48f0-bd85-d3fb5daf18db,SaaS
1d13673b-ef55-4a49-a3b9-27ae31bf6920,Other Cloud: Hybrid/Private/On-prem virtualization
c02f4d8a-4c0d-416d-878e-d73c00e45c1f,SaaS
f3bda80b-e8a9-4d79-9c63-99f218828d44,SaaS
f3bda80b-e8a9-4d79-9c63-99f218828d44,IaaS
68054353-8a07-4927-9c66-04664d4cf84e,SaaS
68054353-8a07-4927-9c66-04664d4cf84e,Other Cloud: Hybrid/Private/On-prem virtualization
590a513c-4fe1-44d1-a63a-93de3bce9b57,
4a4c2c81-07f9-48da-a342-ef4be4a07d35,
3dea0167-384c-4e34-88de-c237f9dc60f3,SaaS
c520bbc2-41e4-4e0f-bbd6-77744ea508fb,SaaS
c520bbc2-41e4-4e0f-bbd6-77744ea508fb,IaaS
c8ec148f-8e36-476e-a396-8ab20e018a4f,
fcec2f41-aab2-4f4e-9026-309faed5f51d,SaaS
fcec2f41-aab2-4f4e-9026-309faed5f51d,Other Cloud: Hybrid/Private/On-prem virtualization
f480d2f2-353c-43b7-8139-cf29de659410,
dfce11cf-9c37-4901-a2dc-696ac3aaa406,
c3edffb0-fd2f-4ebf-b456-0369c7c042f2,
ed02a810-6897-4630-9683-a46ebb93d500,Other Cloud: Hybrid/Private/On-prem virtualization
ed02a810-6897-4630-9683-a46ebb93d500,SaaS
5edd400a-3440-42d1-8fc1-08416766d357,SaaS
453005d6-c8c9-4dc6-bed6-dc46c2b79f09,
dc0ee828-326f-4f61-a1ca-9560d6b3c6ad,
83b30253-ae03-4474-bbfa-e45cd0185299,SaaS
83b30253-ae03-4474-bbfa-e45cd0185299,Other Cloud: Hybrid/Private/On-prem virtualization
48d6c9e1-3a08-4590-b795-78da431708a4,SaaS
39cb2258-694f-4610-83d0-591bea34b790,SaaS
39cb2258-694f-4610-83d0-591bea34b790,Other Cloud: Hybrid/Private/On-prem virtualization
39cb2258-694f-4610-83d0-591bea34b790,PaaS
acb28b80-de93-49cd-a571-bcacb950920c,IaaS
acb28b80-de93-49cd-a571-bcacb950920c,PaaS
acb28b80-de93-49cd-a571-bcacb950920c,SaaS
927f1f0a-26f2-44f3-b8de-21ae1c6e3690,
3545716c-096d-4766-b741-f40bfc7acc59,Other Cloud: Hybrid/Private/On-prem virtualization
3545716c-096d-4766-b741-f40bfc7acc59,SaaS
ffd8b12e-4091-40a1-a55f-e3ee4b5133d3,SaaS
ffd8b12e-4091-40a1-a55f-e3ee4b5133d3,Other Cloud: Hybrid/Private/On-prem virtualization
a2c37c13-e067-4323-94f0-8e66e876d333,SaaS
9ef5710f-f267-433e-b105-569dad9261b6,
f628646d-6904-4409-998c-175e5c228d75,
4c717362-3039-4c78-9a0b-de90d5d5478d,SaaS
4c717362-3039-4c78-9a0b-de90d5d5478d,PaaS
4c717362-3039-4c78-9a0b-de90d5d5478d,Other Cloud: Hybrid/Private/On-prem virtualization
4c717362-3039-4c78-9a0b-de90d5d5478d,IaaS
c58c6307-994d-44e4-9517-0ab761d0a424,SaaS
c58c6307-994d-44e4-9517-0ab761d0a424,Other Cloud: Hybrid/Private/On-prem virtualization
c58c6307-994d-44e4-9517-0ab761d0a424,IaaS
67318afb-2f33-45a1-9ce9-fc20c69fbe69,SaaS
67318afb-2f33-45a1-9ce9-fc20c69fbe69,PaaS
67318afb-2f33-45a1-9ce9-fc20c69fbe69,IaaS
93c40ef2-9897-4d45-a059-ee5f61e34961,Other Cloud: Hybrid/Private/On-prem virtualization
93c40ef2-9897-4d45-a059-ee5f61e34961,SaaS
93c40ef2-9897-4d45-a059-ee5f61e34961,PaaS
93c40ef2-9897-4d45-a059-ee5f61e34961,IaaS
8b0f2eb6-dcd8-44ae-90b9-7d55e0aee8cd,
4211d9d6-bee0-47fd-85a1-fbf9d78fa981,SaaS
4211d9d6-bee0-47fd-85a1-fbf9d78fa981,Other Cloud: Hybrid/Private/On-prem virtualization
57b785d8-2ab1-4586-a70d-def8ffe44458,
6a46b3be-8732-446a-b351-206c557e6f91,SaaS
6a46b3be-8732-446a-b351-206c557e6f91,Other Cloud: Hybrid/Private/On-prem virtualization
31e6a6b0-55e3-40c6-a1c8-74dd3950883d,
ef8cd001-0d61-445c-81b0-50b2765d2a8d,SaaS
941635b2-a372-4358-89b4-6700e75c8443,SaaS
79e133ae-bb7b-46c3-948d-34401427c971,SaaS
8287052b-477d-4999-a748-2f44222f3dff,IaaS
8287052b-477d-4999-a748-2f44222f3dff,SaaS
8287052b-477d-4999-a748-2f44222f3dff,Other Cloud: Hybrid/Private/On-prem virtualization
05e2a9dd-0204-4d54-a473-c2a309b1f1ff,SaaS
05e2a9dd-0204-4d54-a473-c2a309b1f1ff,Other Cloud: Hybrid/Private/On-prem virtualization
990522f4-438c-4b2c-98e0-56e197e52a8b,
fdf04d89-5a9c-49ee-b86b-97e4fb5de323,SaaS
4917a5a1-788b-4d4f-8546-645bd454c1d5,SaaS
4917a5a1-788b-4d4f-8546-645bd454c1d5,Other Cloud: Hybrid/Private/On-prem virtualization
7da6c961-4ee5-49c2-adb2-1e8f804680a8,
4d6f8735-5378-4bd4-aa4b-974fe30249de,Other Cloud: Hybrid/Private/On-prem virtualization
4d6f8735-5378-4bd4-aa4b-974fe30249de,SaaS
e0972492-c990-4509-af95-f592cff44691,
de21f189-5b37-42cc-8151-7d4c3838b49d,SaaS
de21f189-5b37-42cc-8151-7d4c3838b49d,PaaS
de21f189-5b37-42cc-8151-7d4c3838b49d,IaaS
fd7a49a1-3354-47b8-bfcf-428ce605b034,Other Cloud: Hybrid/Private/On-prem virtualization
fd7a49a1-3354-47b8-bfcf-428ce605b034,SaaS
0efb258e-b553-45b1-b609-e647d026b855,SaaS
0efb258e-b553-45b1-b609-e647d026b855,IaaS
0efb258e-b553-45b1-b609-e647d026b855,Other Cloud: Hybrid/Private/On-prem virtualization
3c7ee40d-5cae-407e-bc1d-5262cef197f9,
1f302ef9-36b1-4552-9316-c470f5a1b8c0,Other Cloud: Hybrid/Private/On-prem virtualization
1f302ef9-36b1-4552-9316-c470f5a1b8c0,SaaS
1f302ef9-36b1-4552-9316-c470f5a1b8c0,IaaS
1f302ef9-36b1-4552-9316-c470f5a1b8c0,PaaS
00e6f20e-0fbb-41fd-818d-7d0e4deaee14,Other Cloud: Hybrid/Private/On-prem virtualization
b488e50d-89d8-4f59-8495-2b23c845bcbd,SaaS
a272e0a2-fa9d-49cb-893f-dc764de1ca83,
d4b1a756-4819-4370-a628-4857e8fe3026,SaaS
d4b1a756-4819-4370-a628-4857e8fe3026,Other Cloud: Hybrid/Private/On-prem virtualization
