id,global_region,region,country,state,city
34243661-44e1-4010-9f94-ac765d49b72d,APJ,APeJC,Australia,Victoria,Doncaster
8f2864b4-6ed8-4c4b-8093-258d543e0544,EMEA,Western Europe,Netherlands,Utrecht,Breukelen
0007db42-81f1-4489-9beb-454434da65a8,APJ,APeJC,Vietnam,Long An,Ho Chi Minh City
69e7b518-4831-421c-a2d4-4e48883c7ecc,Americas,USA,USA,California,Carlsbad
c59a99f5-0e66-4551-abaf-d4fd09fd0353,EMEA,Western Europe,Sweden,Halland County,Varberg
93729a2d-b898-4dbf-be66-fa0eee7bc2aa,EMEA,Western Europe,Denmark,Region of Southern Denmark,Sonderborg
9f5a9658-b02d-40e5-bb4f-0be0fc90d9b4,EMEA,Western Europe,Norway,Innlandet,Lillehammer
8629eb01-f809-4178-b4e8-a3e5e22b24f7,Americas,USA,USA,Georgia,Peachtree Corners
41443fca-59b9-4b23-9325-d1ba71cb8629,EMEA,Western Europe,Germany,Saxony,Markkleeberg
64c47753-0320-42d0-ac1c-f1f2bb2eb5d1,Americas,Latin America,Chile,Santiago Metropolitan Region,San Bernardo
46b61b8c-9c9a-479b-b23c-7bfed2591663,EMEA,Western Europe,United Kingdom,London,Ilford
cf5ef045-4da1-4ec8-9655-40a4603c6851,EMEA,Western Europe,United Kingdom,Suffolk,Mildenhall
fb7275aa-291a-4802-8ed1-bdf074e7d5cd,Americas,Latin America,Brazil,Sao Paulo,Sertaozinho
43d53d14-c4eb-4cd9-ae7d-9ed536b785ad,Americas,USA,USA,Texas,Hutchins
5799ce9a-0c90-470b-8317-5619585ef750,Americas,USA,USA,California,Auburn
8f33ee7f-bdca-4294-9691-05e592952106,Americas,USA,USA,Kansas,Olathe
d0c135cb-3136-45cb-9390-920cc71337f1,EMEA,Western Europe,Netherlands,South Holland,The Hague
ae219964-55f2-4f0d-a010-8f39fff2ac08,EMEA,Central & Eastern Europe,Poland,Mazovia,Warszawa
bd420f6e-5162-4a22-a7b0-40b8737fdd15,Americas,USA,USA,California,Laguna Beach
c4a078c5-9127-4e68-a768-8c7974c539c3,APJ,APeJC,Vietnam,Ho Chi Minh,Cho Lon
709a309c-a5e6-4415-b99a-843972a11688,Americas,USA,USA,Kentucky,Lexington
96043d26-5571-4e44-852e-99d20b0d658b,EMEA,Central & Eastern Europe,Poland,Silesia,Katowice
7dc513d4-868f-49fb-ada8-1c1e1ca0fba2,Americas,Latin America,Venezuela,Capital District,Caracas
3bab3ccc-00d3-4b90-842b-be772ec5789c,EMEA,Western Europe,Ireland,Dublin,Clonskeagh
bb231288-45ac-4137-8a98-4176de64cb9a,Americas,USA,USA,Michigan,Lansing
0fe1c23c-19cc-4c24-a926-c47ec7185a2c,EMEA,Western Europe,United Kingdom,Windsor and Maidenhead,Maidenhead
3b3a2f9c-d4ec-4a47-a29e-8fbe427dd86c,EMEA,Western Europe,Germany,Lower Saxony,Freiburg
e27eeb59-e7c2-420b-bd25-1cd94b5049e9,EMEA,Western Europe,Switzerland,Zug,Cham
12f72d75-7006-4151-a0d0-3d1721e54b45,Americas,USA,USA,California,Campbell
59c4c934-e3f2-4916-9ebf-1cb710eaab62,Americas,USA,USA,Kansas,Lenexa
cdc87d5b-0ae5-4380-abb3-454c14d137ac,APJ,APeJC,Indonesia,Jakarta,South Jakarta
ce02acf7-a586-4d11-95d2-39f0a21f2d93,EMEA,Western Europe,United Kingdom,West Berkshire,Maidenhead
68bed856-9eb5-4889-b1d3-2a209c8afcfc,Americas,USA,USA,New Hampshire,Hampstead
7bbe4ccd-9a8a-48b2-958a-5a3a97141bd1,Americas,USA,USA,Massachusetts,Andover
e40f1905-1726-48fe-8203-d9488a2cc35b,EMEA,Western Europe,Netherlands,Utrecht,Amersfoort
14621e96-9bbd-4080-b9c7-58aef29f5d5b,Americas,USA,USA,Colorado,Cherry Creek
0e5b9ce6-948a-4ee1-89d6-2eec8c8a98f4,Americas,USA,USA,Nebraska,Lincoln
1bc26fc4-049a-47ba-ad91-21a5c5652282,Americas,USA,USA,Massachusetts,Wellesley
360ee043-d7a7-49c2-9409-041375c53adb,Americas,USA,USA,Colorado,Englewood
785e4a4e-e00b-4772-8ec3-b9e09f3e480a,Americas,USA,USA,California,Daly City
1fd3bb78-a189-4ff9-bdcc-920992a8e13e,Americas,USA,USA,Florida,Coral Gables
531ac38c-41aa-4e38-8fa9-b75afd11d33b,Americas,USA,USA,California,San Marino
58d6521d-4a3e-40e6-a174-5ebabbe01690,Americas,USA,USA,Massachusetts,West Springfield
f79bb074-4eab-4bea-8781-7e352ddac254,Americas,USA,USA,Massachusetts,Newton
b62327f9-4a99-48d3-990d-3eb2c7538b14,Americas,USA,USA,Massachusetts,Lynnfield
16eaf69f-d91c-4ae9-8b53-721680c51ae9,Americas,USA,USA,Alabama,Auburn
ec4c513d-d847-4279-9f4e-9e90c0fe0868,Americas,USA,USA,Virginia,Herndon
be8052b2-5b01-4444-aaae-6fae2e88655d,EMEA,Western Europe,Germany,Bavaria,Herzogenaurach
